photo	picture	Some of the mission will include examining the surface for sources of water, and taking comparison <x>photos</x> of the light side and dark sides of the surface.	The trial judge, His Honour Judge Michael Murphy QC, who had previously ordered the jury not to consult the Internet, did not halt the prosecution as he felt 'satisfied' the jury hadn't seen the <y>picture</y>.	equivalence	1.0
boy	child	He married a woman he meet at college, Norma Kaphan and they had two <x>boys</x>, Peter and Christopher.	The court found that he, along with his son Franck V. and Franck's former spouse, Patricia M., was one the instigators of a sex ring that abused 45 <y>children</y>, mostly in the couple's flat.	forward_entailment	1.0
car	windows	Mogale's crimes lasted a year from March 2008 to March 2009, coming to an end when police were passed his <x>car</x>'s number plate information following a teen's disappearance.	Four men attacked patrons of a Pizzeria, knocking a woman unconscious on the footpath and smashing <y>windows</y>.	independent	1.0
talk	phone	Google, Yahoo, and Canonical also gave <x>talks</x> about Google Gears, Yahoo UI, and Ubuntu Mobile.	The post of controller became vacant last year when Lesley Douglas resigned following the scandal over crude <y>phone</y> calls made by Russell Brand and Jonathan Ross to actor Andrew Sachs during a pre-recorded music programme.	independent	0.6
market	oil	Analysts noted that this move has the potential to financially hurt Google, which has a somewhat limited share of the Internet search <x>market</x> in China, which is dominated by the Chinese-based Google-like website Baidu.	The United States government has filed a civil lawsuit against BP Exploration (Alaska) Inc. (BPXA) alleging that the company 'violated federal clean air and water laws' by 'illegally discharging' more than 200,000 gallons crude <y>oil</y> during two <y>oil</y> spills in 2006 on Alaska's North Slope in Prudhoe Bay.	independent	0.8
classroom	structure	Shortly thereafter, shots were heard with survivors reporting the gunmen were shooting people indiscriminately, going from <x>classroom</x> to <x>classroom</x>, killing teachers and students as they found them.	Police said the man destroyed mobile phone towers by 'crashing through the perimeter fence and colliding with <y>structures</y> causing significant damage'.	independent	0.8
bride	couple	Carole Middleton, the <x>bride</x>'s mother, is reported to be wearing a sky blue dress designed by Catherine Walker.	It will be Burstein's feature film debut. 'Going the Distance', written by New Line staffer Geoff LaTulippe, will focus on a <y>couple</y> dealing with challenges arising from a cross-country romance.	other-related	1.0
trip	walk	The Chinooks can dump more water in fewer <x>trips</x> than the smaller helicopters.	Halligan <y>walked</y> into the school and began to fire shots from his rifle into a hallway ceiling then shot himself according to the Springfield Township Police Chief, Randall Hummel.	independent	0.6
play	sport	The Gators will <x>play</x> against the Michigan Wolverines at the Capital One Bowl in Orlando, Florida on New Year's Day.	oversees the <y>sport</y> of amateur, Olympic-style boxing in America, as a member organization of the (AIBA).	other-related	0.6
boy	woman	He said, 'During a recent interview with one of the families facing eviction, a little <x>boy</x> started crying and stated that the police came by and tried to take my bedroom away from me.'	In the <y>Women</y>'s Group, Mulu Seboka from Ethiopia won the champion with 2H30m03s.	alternation	0.8
