INPUT:hyponym	INPUT:hypernym	INPUT:genitive	OUTPUT:judgement	CONFIDENCE:judgement
автомобиль	автомототранспортная_техника	автомототранспортной_техники	true	99.99%
автомобиль	автотранспортная_техника	автотранспортной_техники	true	99.99%
автомобиль	агрегат	агрегата	true	99.99%
автомобиль	железный_конь	железного_коня	false	77.76%
автомобиль	имущество	имущества	true	99.99%
автомобиль	легковая	легковой	false	68.67%
автомобиль	легковушка	легковушки	false	98.47%
автомобиль	машина	машины	false	98.05%
автомобиль	пдпу	пдпа	false	99.98%
автомобиль	повозка	повозки	true	77.40%
автомобиль	самоходные_машины	самоходных_машиных	true	93.76%
автомобиль	средство_передвижения	средства_передвижений	true	99.99%
автомобиль	тележка	тележки	false	99.85%
автомобиль	техсредство	техсредства	true	99.99%
автомобиль	товар	товара	true	99.99%
автомобиль	тулгри	тулгри	false	99.96%
автор	взрослый	взрослого	true	79.36%
автор	деятель	деятеля	true	99.99%
автор	европеец	европейца	false	99.24%
автор	звонкие_имена	звонких_имён	false	99.76%
автор	имя	имени	false	91.99%
автор	лицо	лица	true	99.99%
автор	люди	людей	true	99.98%
автор	пределами_россии	пределов_россии	false	99.99%
автор	родственник	родственника	false	99.94%
автор	родственники	родственников	false	99.89%
автор	россиянин	россиянина	false	58.04%
автор	создательница	создательницы	true	99.99%
автор	созидательница	созидательницы	false	99.85%
автор	созидатель	созидателя	false	79.73%
автор	филолог[	филолог[	true	77.22%
автор	человек —	человек —	true	99.99%
автор	человек	человека	true	99.98%
анализ	i–ii]	i–ii]	false	99.96%
анализ	взаимопонимание —	взаимопонимание —	false	82.65%
анализ	выяснение	выяснения	true	80.08%
анализ	действие	действия	true	99.01%
анализ	дело	дела	true	51.59%
анализ	деятельности	деятельностей	true	99.30%
анализ	и запоминание	и запоминания	false	96.60%
анализ	изучать	изучающего	true	97.68%
анализ	изучение	изучения	true	99.99%
анализ	изучить	изучившего	true	99.79%
анализ	компоненты_деятельности	компонентов_деятельностей	true	68.05%
анализ	логические_приемы	логических_приёмов	true	97.00%
анализ	метод	метода	true	99.99%
анализ	методика	методики	true	99.99%
анализ	методы	методов	false	63.78%
анализ	мыслительных_операций	мыслительных_операций	true	99.84%
анализ	наблюдение	наблюдения	false	99.17%
анализ	операция	операции	true	62.97%
анализ	определение	определения	true	98.76%
анализ	осмотр	осмотра	true	99.45%
анализ	производство_исследований	производства_исследований	true	81.75%
анализ	структурные_компоненты	структурных_компонентов	true	83.41%
армия	воинские_формирования	воинских_формирований	true	99.90%
армия	гвардия[	гвардия[	false	82.69%
армия	группировка_войск	группировки_войск	false	80.79%
армия	группа_войск	группы_войск	false	99.95%
армия	заведение	заведения	false	92.28%
армия	институт	института	false	99.57%
армия	количество	количества	false	98.33%
армия	контора	конторы	false	99.98%
армия	масса	массы	true	99.92%
армия	ополчение	ополчения	true	92.91%
армия	организация,_учреждение	организации,_учреждения	true	96.67%
армия	отряд	отряда	false	98.28%
армия	род_войск	рода_войск	false	99.95%
армия	рстк	рстк	false	99.99%
армия	сложный_механизм	сложного_механизма	true	98.86%
армия	совокупность	совокупности	true	75.29%
армия	сраеля	сраеля	false	99.98%
армия	структура	структуры	true	99.98%
армия	учреждение	учреждения	true	99.46%
армия	формирование	формирования	true	99.97%
банк	арендующее	арендующего	false	76.84%
банк	государственных_институтов	государственных_институтов	false	84.64%
банк	деньги	денег	false	85.44%
банк	достижение_цивилизации	достижения_цивилизаций	false	97.85%
банк	заведение	заведения	true	99.98%
банк	здание	здания	true	99.98%
банк	игра	игры	false	99.88%
банк	объединений_предприятий	объединений_предприятий	true	87.69%
банк	объект	объекта	true	99.56%
банк	организация	организации	true	99.99%
банк	правэкса	правэкса	false	99.99%
банк	рефинансирующих	рефинансирующих	true	86.54%
банк	страна	страны	false	99.97%
банк	сумма	суммы	false	94.47%
банк	учреждения	учреждений	true	99.98%
банк	финансово-банковское_учреждение	финансово-банковского_учреждения	true	81.65%
банк	финансовый	финансового	true	99.99%
банк	финансовых_учреждений	финансовых_учреждений	true	99.99%
берег	берега	берегов	false	98.32%
берег	земля	земли	true	99.99%
берег	имущество	имущества	false	99.97%
берег	краевой	краевого	false	98.32%
берег	краешек	краешка	true	84.73%
берег	край,_кромка	края,_кромки	true	99.62%
берег	кромка	кромки	true	99.88%
берег	место	места	true	99.99%
берег	подрусловый	подруслового	false	83.35%
берег	построек_деревни	построек_деревень	false	99.82%
берег	случая_я	случая_меня	false	99.99%
берег	среда	среды	true	99.45%
берег	стороны	сторон	false	76.74%
берег	сторона	стороны	false	78.27%
берег	судно, судну	судна	false	99.99%
берег	таготча	таготча	false	99.98%
берег	тропических_деревьев	тропических_дерев	false	99.99%
берег	цветущих_деревьев	цветущих_дерев	false	99.99%
берег	элемент	элемента	false	99.13%
берег	якобстада	якобстад	false	99.93%
бог	библейский_рассказ_о_том	библейского_рассказа_о_тома	false	99.27%
бог	высший_разум	высочайшего_разума	true	99.99%
бог	глупость	глупости	false	99.73%
бог	животное	животного	false	99.99%
бог	источника_силы	источника_сил	true	99.54%
бог	лицо	лица	false	94.24%
бог	мастер	мастера	true	88.96%
бог	мужчина	мужчины	false	68.40%
бог	наименование	наименования	false	84.08%
бог	огромного_источника_силы	огромного_источника_сил	false	99.62%
бог	панорама	панорамы	false	99.82%
бог	персонаж	персонажа	true	99.98%
бог	рассказ_о_том	рассказа_о_тома	false	99.86%
бог	сверхъестественная_сущность	сверхъестественной_сущности	true	99.99%
бог	служить	служащего	false	99.98%
бог	статуя	статуи	false	99.35%
бог	существа	существ	true	99.89%
бог	существо, —	существо, —	true	79.73%
бог	существо…	существо…	true	56.92%
бог	человек	человека	false	97.85%
бог	чудовище	чудовища	false	99.99%
большинство	баран	барана	false	99.99%
большинство	законов_природы	законов_природ	false	99.82%
большинство	национальными_силами	национальных_сил	true	93.77%
большинство	окаменелость	окаменелости	false	99.99%
большинство	склад, склада	склада	false	99.85%
большинство	составная_часть	составной_части	true	98.27%
большинство	тощая_жирафа	тощей_жирафы	false	99.99%
борьба	апартеидом…	апартеидом…	false	99.98%
борьба	битва	битвы	true	99.99%
борьба	вид_спорта	вида_спорта	true	99.99%
борьба	волшебные_слова	волшебных_слов	false	99.99%
борьба	дело	дела	true	99.36%
борьба	завоевание[	завоевание[	true	99.93%
борьба	клишированные_истории	клишированных_историй	false	99.77%
борьба	контрмера	контрмеры	true	80.53%
борьба	необольшевистская	необольшевистской	false	98.94%
борьба	отвратительными_зрелищами	отвратительных_зрелищ	true	93.85%
борьба	перепалка	перепалки	true	72.35%
борьба	подчиненн^хх	подчиненн^хх	false	99.98%
борьба	попытаться	попытавшегося	false	99.98%
борьба	попытка	попытки	true	80.53%
борьба	проба_пера	пробы_пера	false	99.95%
борьба	противодействие	противодействия	true	99.99%
борьба	пытаться,_стараться	пытающегося,_старающегося	false	99.98%
борьба	разлад	разлада	true	99.62%
борьба	сам^хх	сам^хх	false	99.98%
борьба	состязание	состязания	true	99.98%
борьба	спорт, спорта	спорта	true	99.99%
борьба	сражение	сражения	true	99.99%
борьба	столкновение	столкновения	true	98.62%
борьба	стычка	стычки	true	98.21%
борьба	схватка	схватки	true	99.99%
борьба	трудиться	трудящегося	false	99.99%
брат	близкие_родственники, близких_родственников	близких_родственников	true	99.99%
брат	должностное_лицо	должностного_лица	true	69.54%
брат	единомышленник	единомышленника	false	74.39%
брат	коммандитист	коммандитиста	false	99.99%
брат	многочисленные_родственники	многочисленных_родственников	true	99.98%
брат	монах	монаха	true	88.09%
брат	отчинник	отчинника	false	99.95%
брат	племянник	племянника	true	69.78%
брат	разумной_жизни	разумной_жизней	false	99.98%
брат	родич	родича	true	99.99%
брат	родственник…	родственник…	true	99.99%
брат	сын	сына	true	85.74%
брат	троюродный	троюродного	true	60.06%
брат	человек	человека	true	99.99%
бумага	бумажная_продукция	бумажной_продукции	true	98.37%
бумага	документ	документа	true	94.24%
бумага	лесобумажная_продукция	лесобумажной_продукции	true	99.99%
бумага	материал, —	материал, —	true	99.99%
бумага	материал	материала	true	99.99%
бумага	материалы	материалов	true	99.99%
бумага	материал…	материал…	true	99.99%
бумага	мелочи	мелочей	false	99.99%
бумага	подобных_товаров	подобных_товаров	false	96.69%
бумага	природными_ресурсами	природных_ресурсов	false	95.30%
бумага	растение	растения	true	69.54%
бумага	рукопись	рукописи	false	99.94%
бумага	сыть	сыти	false	99.99%
бумага	текст	текста	false	99.97%
бумага	упаковочные_материалы	упаковочных_материалов	true	99.99%
бумага	целлюлознобумажный	целлюлознобумажного	true	99.99%
вариант	видоизменение	видоизменения	false	96.69%
вариант	воздействие	воздействия	false	99.63%
вариант	возможность	возможности	true	99.91%
вариант	действие	действия	false	88.23%
вариант	изменение	изменения	false	96.69%
вариант	искажение	искажения	false	95.87%
вариант	культура	культуры	false	99.78%
вариант	наличие	наличия	true	89.71%
вариант	параметр	параметра	false	96.69%
вариант	перемещение	перемещения	false	99.86%
вариант	предмет	предмета	false	99.99%
вариант	признак	признака	false	99.93%
вариант	произведение	произведения	true	68.29%
вариант	разновидность	разновидности	true	87.42%
вариант	разнообразие	разнообразия	true	76.92%
вариант	редакция	редакции	false	98.19%
вариант	свойство	свойства	false	93.27%
вариант	серия#	серия#	false	99.99%
вариант	фактор	фактора	false	95.07%
вариант	характеристика	характеристики	false	98.33%
век	внутреннему_убранству	внутреннего_убранства	false	99.99%
век	временной_отрезок	временного_отрезка	true	98.43%
век	годовщина	годовщины	true	89.08%
век	достопримечательности	достопримечательностей	false	99.99%
век	животных_конца	животных_конца	false	99.99%
век	интервал_времени	интервала_времени	true	98.62%
век	интервальный	интервального	true	99.72%
век	конец	конца	false	99.98%
век	мелочь	мелочи	false	99.99%
век	много	многа	true	63.52%
век	момент	момента	true	89.08%
век	огромной_женщины_с	огромной_женщин_с	false	99.99%
век	отрезок_времени	отрезка_времени	true	99.99%
век	период	периода	true	99.99%
век	предмет	предмета	false	98.16%
век	промежуток_времени	промежутка_времени	true	99.99%
век	суперконтинентального	суперконтинентального	false	99.99%
век	тагмозиса	тагмозиса	false	99.85%
век	фанерозою	фанерозы	false	98.42%
век	ценность	ценности	false	99.93%
век	эпоха	эпохи	true	99.99%
вера	антицелостность	антицелостности	false	99.62%
вера	глубинными_состояниями_ума	глубинных_состояний_ума	true	99.99%
вера	добродетель	добродетели	false	54.73%
вера	имя	имени	true	99.99%
вера	мировоззрение	мировоззрения	true	99.99%
вера	мировоззренческий	мировоззренческого	true	98.11%
вера	мироощущение	мироощущения	true	99.41%
вера	миропонимание	миропонимания	true	99.99%
вера	мысль	мысли	true	98.72%
вера	мышление	мышления	true	98.58%
вера	поток_мыслей	потока_мыслей	false	97.81%
вера	сверхнародная	сверхнародной	false	94.29%
вера	состояниями_ума	состояний_ума	true	88.20%
вера	убеждения,_взгляды	убеждений,_взглядов	true	99.99%
вера	убежденность	убеждённости	true	99.99%
вера	уверенность	уверенности	true	99.99%
вера	учение	учения	false	88.05%
вера	фактор	фактора	true	54.42%
вера	феномен	феномена	false	96.15%
вера	ценность	ценности	true	99.99%
вера	церковь	церкви	true	63.52%
вера	элементы_самочувствия_артиста	элементов_самочувствий_артиста	false	95.75%
вера	эмоция	эмоции	false	81.72%
вечер	временной_отрезок	временного_отрезка	true	97.40%
вечер	интервал_времени	интервала_времени	true	97.71%
вечер	клубной_работы	клубной_работ	false	99.99%
вечер	культурные_мероприятия	культурных_мероприятий	true	99.99%
вечер	мероприятия	мероприятий	true	99.67%
вечер	ограничи­валось	ограничи­вавшегося	false	99.96%
вечер	певчие_существа	певчих_существ	false	98.77%
вечер	подарка_харлея	подарка_харлея	false	99.99%
вечер	полумрак	полумрака	true	77.53%
вечер	промежуток_времени	промежутка_времени	true	99.99%
вечер	развлечений	развлечений	true	83.34%
вечер	санинизм	санинизма	false	99.98%
вечер	случай	случая	false	99.92%
вечер	собрание	собрания	true	86.45%
вечер	этап	этапа	true	87.77%
вещь	аспект	аспекта	false	99.41%
вещь	вздор	вздора	false	99.99%
вещь	еда	еды	true	63.52%
вещь	кушанье	кушанья	true	54.39%
вещь	материал	материала	true	74.18%
вещь	мебель	мебели	true	98.45%
вещь	наука	науки	false	97.42%
вещь	нечто	нечто	false	93.65%
вещь	объект	объекта	true	89.12%
вещь	пища	пищи	true	63.52%
вещь	платье	платья	true	82.96%
вещь	пожитки	пожитков	true	99.96%
вещь	предмет	предмета	true	89.74%
вещь	произведение	произведения	false	99.93%
вещь	растение	растения	false	99.84%
вещь	результат	результата	false	98.75%
вещь	творение	творения	true	98.21%
вещь	фактор	фактора	false	99.83%
вещь	физический_объект	физического_объекта	true	89.12%
вещь	явление	явления	false	99.85%
взгляд	выражение	выражения	true	99.97%
взгляд	деталь	детали	false	99.98%
взгляд	деятельность	деятельности	true	63.52%
взгляд	документ	документа	false	99.99%
взгляд	кактус	кактуса	false	99.76%
взгляд	конкретного_мужчину	конкретного_мужчины	false	85.69%
взгляд	ксива	ксивы	false	88.85%
взгляд	курс	курса	false	96.31%
взгляд	мелкие_признаки	мелких_признаков	false	85.65%
взгляд	мелочи	мелочей	false	99.99%
взгляд	мистическая, –	мистическая, –	false	99.92%
взгляд	мнение	мнения	true	99.75%
взгляд	направление_в_пространстве	направления_в_пространства	true	76.98%
взгляд	направленность	направленности	true	99.83%
взгляд	образ	образа	true	75.69%
взгляд	орган	органа	false	99.99%
взгляд	положение,_тезис	положения,_тезиса	false	99.96%
взгляд	признак	признака	false	97.03%
взгляд	сознание	сознания	true	86.19%
взгляд	способность	способности	true	97.32%
взгляд	суждение	суждения	false	99.86%
взгляд	трудноуловимым_признакам	трудноуловимого_признаков	false	99.99%
вид	биометрический_паспорт	биометрического_паспорта	false	99.92%
вид	вариант	варианта	false	99.88%
вид	вариация	вариации	false	99.93%
вид	вид, —	вид, —	false	97.03%
вид	вид…	вид…	false	99.91%
вид	грамматическая_категория	грамматической_категории	false	87.12%
вид	дисморфия	дисморфия	false	99.99%
вид	документ	документа	false	69.55%
вид	зрелище	зрелища	true	99.62%
вид	излучение	излучения	false	99.29%
вид	изображение	изображения	true	99.79%
вид	качество	качества	true	99.95%
вид	мероприятие	мероприятия	false	99.94%
вид	нотовид	нотовида	false	99.99%
вид	облик	облика	true	99.95%
вид	общественно–географическое	общественно–географического	false	99.99%
вид	отрешенный	отрешённого	false	98.80%
вид	плечо	плеча	false	99.82%
вид	пособие	пособия	false	99.92%
вид	предложение	предложения	false	79.42%
вид	предмет	предмета	true	89.26%
вид	признак	признака	true	89.26%
вид	приём	приёма	false	99.76%
вид	рефлексированное	рефлексированного	false	99.97%
вид	свидетельство	свидетельства	false	88.46%
вид	свойство,_характеристика	свойства,_характеристики	true	69.53%
вид	сзади	сзади	true	89.26%
вид	состояние	состояния	false	99.83%
вид	фактор	фактора	false	77.31%
вид	форма	формы	true	98.78%
вид	эгосистемы	эгосистем	false	99.28%
вид	энергия	энергии	false	99.99%
власть	антицелостность	антицелостности	false	99.76%
власть	благо	блага	false	97.47%
власть	величина	величины	false	99.57%
власть	влияние	влияния	true	99.96%
власть	вправе	вправе	false	99.95%
власть	духовно–психологический	духовно–психологического	false	99.30%
власть	килхейдхеером	килхейдхеера	false	99.98%
власть	котор^гх	котор^гх	false	99.99%
власть	лицо	лица	false	96.77%
власть	мелочь	мелочи	false	99.98%
власть	мононокенону	мононокеноны	false	99.88%
власть	олимполис	олимполиса	false	99.99%
власть	орган	органа	false	69.34%
власть	организация	организации	false	68.57%
власть	показатель	показателя	false	98.34%
власть	социальным_благам	социальных_благ	true	70.83%
власть	таксономическая_категория	таксономической_категории	false	84.00%
власть	хэлльцев	хэлльцев	false	99.99%
власть	ценности	ценностей	false	93.75%
власть	юридическое_право	юридического_права	true	71.16%
внимание	дело	дела	false	99.99%
внимание	коммуникативного_поведения	коммуникативного_поведений	true	93.75%
внимание	личные_отношения	личных_отношений	true	84.83%
внимание	межчеловеческий	межчеловеческого	false	72.67%
внимание	мелочи	мелочей	false	99.89%
внимание	мелочь	мелочи	false	99.76%
внимание	отношения_между_конкретными_людьми	отношений_между_конкретных_людей	true	99.99%
внимание	персональные_отношения	персональных_отношений	true	75.05%
внимание	припи­сывают	припи­сывающих	false	99.76%
внимание	психического_процесса	психического_процесса	true	99.78%
внимание	сосредоточенность	сосредоточенности	true	90.38%
внимание	убеждением,	убеждения,	false	99.96%
внимание	угодничество	угодничества	true	68.20%
внимание	устремленность	устремлённости	false	71.26%
внимание	функция	функции	false	86.49%
внимание	ценность	ценности	false	99.07%
внимание	чувство	чувства	true	92.52%
внимание	элемент	элемента	false	98.56%
внимание	эмоция	эмоции	true	72.54%
вода	безалкогольные_напитки	безалкогольных_напитков	true	99.99%
вода	бухало	бухавшего	false	99.99%
вода	бухло	бухнувшего	false	99.99%
вода	жидкое_вещество	жидкого_вещества	true	99.69%
вода	жидкость	жидкости	true	99.99%
вода	коммунальные_услуги	коммунальных_услуг	true	99.99%
вода	масса	массы	true	96.58%
вода	материал	материала	true	50.15%
вода	мелочь	мелочи	false	99.99%
вода	несодержащий_алкоголь	несодержащего_алкоголя	true	99.96%
вода	отстоенная	отстоенной	false	99.88%
вода	пассивирует	пассивировавшего	false	99.99%
вода	питие	пития	true	99.99%
вода	плотной_среде	плотной_среды	false	98.25%
вода	полраковины	полраковин	false	99.99%
вода	природные_ресурсы, природными_ресурсами	природных_ресурсов	true	99.99%
вода	растворитель	растворителя	true	99.97%
вода	слабоалкогольный_напиток	слабоалкогольного_напитка	false	98.19%
вода	стихия	стихии	true	99.99%
вода	товар	товара	true	99.99%
вода	хлорировалась	хлорировавшейся	false	91.07%
вода	элемент	элемента	false	50.37%
воздух	аэромилиции	аэромилиций	false	86.85%
воздух	газ	газа	true	99.99%
воздух	газообразный_компонент	газообразного_компонента	true	97.48%
воздух	необходимые_продукты	необходимых_продуктов	true	90.52%
воздух	подщелачивается	подщелачивающегося	false	99.97%
воздух	прекрасных_птиц	прекрасных_птиц	false	99.98%
воздух	пространство	пространства	true	99.98%
воздух	сводовый	сводового	false	99.20%
воздух	смесь	смеси	true	94.45%
воздух	смешение	смешения	false	85.12%
воздух	среда	среды	true	99.98%
воздух	убиквитет	убиквитета	false	99.96%
воздух	условие	условия	false	87.23%
воздух	фактор	фактора	false	99.64%
воздух	человек	человека	false	99.99%
воздух	элемент	элемента	false	99.19%
возможность	безконтрольность	безконтрольности	false	98.87%
возможность	величина	величины	false	97.52%
возможность	возможно	возможно	false	99.99%
возможность	высказывание	высказывания	false	99.99%
возможность	качествующее	качествующего	false	99.90%
возможность	наличие	наличия	true	99.98%
возможность	наука	науки	false	99.99%
возможность	обстоятельство,_фактор	обстоятельства,_фактора	true	99.07%
возможность	осуществимость	осуществимости	true	99.98%
возможность	оценочная_характеристика	оценочной_характеристики	false	52.67%
возможность	редакция	редакции	false	99.99%
возможность	сопутствующее_обстоятельство	сопутствующего_обстоятельства	true	62.56%
возможность	существенное_обстоятельство	существенного_обстоятельства	false	98.63%
возможность	утверждение	утверждения	false	99.95%
возможность	фактор	фактора	false	98.19%
война	антагонизм[	антагонизм[	false	99.93%
война	атака	атаки	true	72.54%
война	бедствие	бедствия	true	99.98%
война	беда	беды	true	99.99%
война	борьба	борьбы	true	99.73%
война	веселом_деле	весёлого_дела	false	99.99%
война	военный_конфликт	военного_конфликта	true	99.98%
война	вооруженная_борьба	вооружённой_борьбы	true	99.99%
война	грозные_события	грозных_событий	true	99.99%
война	дело	дела	false	95.50%
война	итог—	итог—	false	99.99%
война	катаклизм	катаклизма	true	99.90%
война	катастрофа	катастрофы	true	99.90%
война	конец_уже_после	конца_ужа_посла	false	99.99%
война	междоусобица	междоусобицы	true	99.99%
война	междоусобная	междоусобной	true	99.83%
война	несчастье	несчастья	true	99.92%
война	побочные_эффекты	побочных_эффектов	false	99.95%
война	противоречие	противоречия	true	99.99%
война	распря	распри	false	98.47%
война	славного_начинания	славного_начинаний	false	99.99%
война	смута	смуты	true	50.03%
война	события	событий	true	99.99%
война	событие	события	true	99.89%
война	соци­альное	соци­ального	true	53.39%
война	спор	спора	false	84.54%
война	трагедия	трагедии	true	99.99%
вопрос	атмосфера	атмосферы	false	99.99%
вопрос	выражение	выражения	true	68.20%
вопрос	высказывание	высказывания	true	99.99%
вопрос	дело	дела	false	99.99%
вопрос	дисциплина	дисциплины	false	99.99%
вопрос	знак_пунктуации	знака_пунктуаций	true	77.08%
вопрос	климат	климата	false	99.99%
вопрос	наука	науки	false	99.99%
вопрос	неизвестность	неизвестности	true	99.95%
вопрос	область	области	false	99.98%
вопрос	обращение	обращения	true	99.99%
вопрос	обстоятельства,_обстановка,_условия	обстоятельств,_обстановки,_условий	false	99.10%
вопрос	обстоятельство	обстоятельства	false	99.72%
вопрос	пожелание	пожелания	true	72.54%
вопрос	положение	положения	false	99.99%
вопрос	предмет	предмета	false	99.98%
вопрос	речевой_акт	речевого_акта	true	99.99%
вопрос	состав	состава	false	99.99%
вопрос	страсть	страсти	false	99.97%
вопрос	требование	требования	false	99.99%
вопрос	условие	условия	false	99.91%
вопрос	утверждение	утверждения	false	99.89%
врач	биорадиолог	биорадиолога	false	99.41%
врач	доктор	доктора	true	98.96%
врач	докторша	докторши	true	85.54%
врач	ле­карство	ле­карства	false	99.94%
врач	лекарство	лекарства	false	99.77%
врач	лицо	лица	true	99.84%
врач	медичка	медички	false	92.15%
врач	прописывавшие	прописывавших	true	70.37%
врач	профессия	профессии	true	99.99%
врач	сонолог	сонолога	false	99.99%
