INPUT:hyponym	INPUT:hypernym	INPUT:genitive	OUTPUT:judgement	CONFIDENCE:judgement
автомобиль	автомототранспортная_техника	автомототранспортной_техники	True	99.99%
автомобиль	автотранспортная_техника	автотранспортной_техники	True	99.99%
автомобиль	агрегат	агрегата	True	99.99%
автомобиль	железный_конь	железного_коня	False	77.76%
автомобиль	имущество	имущества	True	99.99%
автомобиль	легковая	легковой	False	68.67%
автомобиль	легковушка	легковушки	False	98.47%
автомобиль	машина	машины	False	98.05%
автомобиль	пдпу	пдпа	False	99.98%
автомобиль	повозка	повозки	True	77.40%
автомобиль	самоходные_машины	самоходных_машиных	True	93.76%
автомобиль	средство_передвижения	средства_передвижений	True	99.99%
автомобиль	тележка	тележки	False	99.85%
автомобиль	техсредство	техсредства	True	99.99%
автомобиль	товар	товара	True	99.99%
автомобиль	тулгри	тулгри	False	99.96%
автор	взрослый	взрослого	True	79.36%
автор	деятель	деятеля	True	99.99%
автор	европеец	европейца	False	99.24%
автор	звонкие_имена	звонких_имён	False	99.76%
автор	имя	имени	False	91.99%
автор	лицо	лица	True	99.99%
автор	люди	людей	True	99.98%
автор	пределами_россии	пределов_россии	False	99.99%
автор	родственник	родственника	False	99.94%
автор	родственники	родственников	False	99.89%
автор	россиянин	россиянина	False	58.04%
автор	создательница	создательницы	True	99.99%
автор	созидательница	созидательницы	False	99.85%
автор	созидатель	созидателя	False	79.73%
автор	филолог[	филолог[	True	77.22%
автор	человек —	человек —	True	99.99%
автор	человек	человека	True	99.98%
анализ	i–ii]	i–ii]	False	99.96%
анализ	взаимопонимание —	взаимопонимание —	False	82.65%
анализ	выяснение	выяснения	True	80.08%
анализ	действие	действия	True	99.01%
анализ	дело	дела	True	51.59%
анализ	деятельности	деятельностей	True	99.30%
анализ	и запоминание	и запоминания	False	96.60%
анализ	изучать	изучающего	True	97.68%
анализ	изучение	изучения	True	99.99%
анализ	изучить	изучившего	True	99.79%
анализ	компоненты_деятельности	компонентов_деятельностей	True	68.05%
анализ	логические_приемы	логических_приёмов	True	97.00%
анализ	метод	метода	True	99.99%
анализ	методика	методики	True	99.99%
анализ	методы	методов	False	63.78%
анализ	мыслительных_операций	мыслительных_операций	True	99.84%
анализ	наблюдение	наблюдения	False	99.17%
анализ	операция	операции	True	62.97%
анализ	определение	определения	True	98.76%
анализ	осмотр	осмотра	True	99.45%
анализ	производство_исследований	производства_исследований	True	81.75%
анализ	структурные_компоненты	структурных_компонентов	True	83.41%
армия	воинские_формирования	воинских_формирований	True	99.90%
армия	гвардия[	гвардия[	False	82.69%
армия	группировка_войск	группировки_войск	False	80.79%
армия	группа_войск	группы_войск	False	99.95%
армия	заведение	заведения	False	92.28%
армия	институт	института	False	99.57%
армия	количество	количества	False	98.33%
армия	контора	конторы	False	99.98%
армия	масса	массы	True	99.92%
армия	ополчение	ополчения	True	92.91%
армия	организация,_учреждение	организации,_учреждения	True	96.67%
армия	отряд	отряда	False	98.28%
армия	род_войск	рода_войск	False	99.95%
армия	рстк	рстк	False	99.99%
армия	сложный_механизм	сложного_механизма	True	98.86%
армия	совокупность	совокупности	True	75.29%
армия	сраеля	сраеля	False	99.98%
армия	структура	структуры	True	99.98%
армия	учреждение	учреждения	True	99.46%
армия	формирование	формирования	True	99.97%
банк	арендующее	арендующего	False	76.84%
банк	государственных_институтов	государственных_институтов	False	84.64%
банк	деньги	денег	False	85.44%
банк	достижение_цивилизации	достижения_цивилизаций	False	97.85%
банк	заведение	заведения	True	99.98%
банк	здание	здания	True	99.98%
банк	игра	игры	False	99.88%
банк	объединений_предприятий	объединений_предприятий	True	87.69%
банк	объект	объекта	True	99.56%
банк	организация	организации	True	99.99%
банк	правэкса	правэкса	False	99.99%
банк	рефинансирующих	рефинансирующих	True	86.54%
банк	страна	страны	False	99.97%
банк	сумма	суммы	False	94.47%
банк	учреждения	учреждений	True	99.98%
банк	финансово-банковское_учреждение	финансово-банковского_учреждения	True	81.65%
банк	финансовый	финансового	True	99.99%
банк	финансовых_учреждений	финансовых_учреждений	True	99.99%
берег	берега	берегов	False	98.32%
берег	земля	земли	True	99.99%
берег	имущество	имущества	False	99.97%
берег	краевой	краевого	False	98.32%
берег	краешек	краешка	True	84.73%
берег	край,_кромка	края,_кромки	True	99.62%
берег	кромка	кромки	True	99.88%
берег	место	места	True	99.99%
берег	подрусловый	подруслового	False	83.35%
берег	построек_деревни	построек_деревень	False	99.82%
берег	случая_я	случая_меня	False	99.99%
берег	среда	среды	True	99.45%
берег	стороны	сторон	False	76.74%
берег	сторона	стороны	False	78.27%
берег	судно, судну	судна	False	99.99%
берег	таготча	таготча	False	99.98%
берег	тропических_деревьев	тропических_дерев	False	99.99%
берег	цветущих_деревьев	цветущих_дерев	False	99.99%
берег	элемент	элемента	False	99.13%
берег	якобстада	якобстад	False	99.93%
бог	библейский_рассказ_о_том	библейского_рассказа_о_тома	False	99.27%
бог	высший_разум	высочайшего_разума	True	99.99%
бог	глупость	глупости	False	99.73%
бог	животное	животного	False	99.99%
бог	источника_силы	источника_сил	True	99.54%
бог	лицо	лица	False	94.24%
бог	мастер	мастера	True	88.96%
бог	мужчина	мужчины	False	68.40%
бог	наименование	наименования	False	84.08%
бог	огромного_источника_силы	огромного_источника_сил	False	99.62%
бог	панорама	панорамы	False	99.82%
бог	персонаж	персонажа	True	99.98%
бог	рассказ_о_том	рассказа_о_тома	False	99.86%
бог	сверхъестественная_сущность	сверхъестественной_сущности	True	99.99%
бог	служить	служащего	False	99.98%
бог	статуя	статуи	False	99.35%
бог	существа	существ	True	99.89%
бог	существо, —	существо, —	True	79.73%
бог	существо…	существо…	True	56.92%
бог	человек	человека	False	97.85%
бог	чудовище	чудовища	False	99.99%
большинство	баран	барана	False	99.99%
большинство	законов_природы	законов_природ	False	99.82%
большинство	национальными_силами	национальных_сил	True	93.77%
большинство	окаменелость	окаменелости	False	99.99%
большинство	склад, склада	склада	False	99.85%
большинство	составная_часть	составной_части	True	98.27%
большинство	тощая_жирафа	тощей_жирафы	False	99.99%
борьба	апартеидом…	апартеидом…	False	99.98%
борьба	битва	битвы	True	99.99%
борьба	вид_спорта	вида_спорта	True	99.99%
борьба	волшебные_слова	волшебных_слов	False	99.99%
борьба	дело	дела	True	99.36%
борьба	завоевание[	завоевание[	True	99.93%
борьба	клишированные_истории	клишированных_историй	False	99.77%
борьба	контрмера	контрмеры	True	80.53%
борьба	необольшевистская	необольшевистской	False	98.94%
борьба	отвратительными_зрелищами	отвратительных_зрелищ	True	93.85%
борьба	перепалка	перепалки	True	72.35%
борьба	подчиненн^хх	подчиненн^хх	False	99.98%
борьба	попытаться	попытавшегося	False	99.98%
борьба	попытка	попытки	True	80.53%
борьба	проба_пера	пробы_пера	False	99.95%
борьба	противодействие	противодействия	True	99.99%
борьба	пытаться,_стараться	пытающегося,_старающегося	False	99.98%
борьба	разлад	разлада	True	99.62%
борьба	сам^хх	сам^хх	False	99.98%
борьба	состязание	состязания	True	99.98%
борьба	спорт, спорта	спорта	True	99.99%
борьба	сражение	сражения	True	99.99%
борьба	столкновение	столкновения	True	98.62%
борьба	стычка	стычки	True	98.21%
борьба	схватка	схватки	True	99.99%
борьба	трудиться	трудящегося	False	99.99%
брат	близкие_родственники, близких_родственников	близких_родственников	True	99.99%
брат	должностное_лицо	должностного_лица	True	69.54%
брат	единомышленник	единомышленника	False	74.39%
брат	коммандитист	коммандитиста	False	99.99%
брат	многочисленные_родственники	многочисленных_родственников	True	99.98%
брат	монах	монаха	True	88.09%
брат	отчинник	отчинника	False	99.95%
брат	племянник	племянника	True	69.78%
брат	разумной_жизни	разумной_жизней	False	99.98%
брат	родич	родича	True	99.99%
брат	родственник…	родственник…	True	99.99%
брат	сын	сына	True	85.74%
брат	троюродный	троюродного	True	60.06%
брат	человек	человека	True	99.99%
бумага	бумажная_продукция	бумажной_продукции	True	98.37%
бумага	документ	документа	True	94.24%
бумага	лесобумажная_продукция	лесобумажной_продукции	True	99.99%
бумага	материал, —	материал, —	True	99.99%
бумага	материал	материала	True	99.99%
бумага	материалы	материалов	True	99.99%
бумага	материал…	материал…	True	99.99%
бумага	мелочи	мелочей	False	99.99%
бумага	подобных_товаров	подобных_товаров	False	96.69%
бумага	природными_ресурсами	природных_ресурсов	False	95.30%
бумага	растение	растения	True	69.54%
бумага	рукопись	рукописи	False	99.94%
бумага	сыть	сыти	False	99.99%
бумага	текст	текста	False	99.97%
бумага	упаковочные_материалы	упаковочных_материалов	True	99.99%
бумага	целлюлознобумажный	целлюлознобумажного	True	99.99%
вариант	видоизменение	видоизменения	False	96.69%
вариант	воздействие	воздействия	False	99.63%
вариант	возможность	возможности	True	99.91%
вариант	действие	действия	False	88.23%
вариант	изменение	изменения	False	96.69%
вариант	искажение	искажения	False	95.87%
вариант	культура	культуры	False	99.78%
вариант	наличие	наличия	True	89.71%
вариант	параметр	параметра	False	96.69%
вариант	перемещение	перемещения	False	99.86%
вариант	предмет	предмета	False	99.99%
вариант	признак	признака	False	99.93%
вариант	произведение	произведения	True	68.29%
вариант	разновидность	разновидности	True	87.42%
вариант	разнообразие	разнообразия	True	76.92%
вариант	редакция	редакции	False	98.19%
вариант	свойство	свойства	False	93.27%
вариант	серия#	серия#	False	99.99%
вариант	фактор	фактора	False	95.07%
вариант	характеристика	характеристики	False	98.33%
век	внутреннему_убранству	внутреннего_убранства	False	99.99%
век	временной_отрезок	временного_отрезка	True	98.43%
век	годовщина	годовщины	True	89.08%
век	достопримечательности	достопримечательностей	False	99.99%
век	животных_конца	животных_конца	False	99.99%
век	интервал_времени	интервала_времени	True	98.62%
век	интервальный	интервального	True	99.72%
век	конец	конца	False	99.98%
век	мелочь	мелочи	False	99.99%
век	много	многа	True	63.52%
век	момент	момента	True	89.08%
век	огромной_женщины_с	огромной_женщин_с	False	99.99%
век	отрезок_времени	отрезка_времени	True	99.99%
век	период	периода	True	99.99%
век	предмет	предмета	False	98.16%
век	промежуток_времени	промежутка_времени	True	99.99%
век	суперконтинентального	суперконтинентального	False	99.99%
век	тагмозиса	тагмозиса	False	99.85%
век	фанерозою	фанерозы	False	98.42%
век	ценность	ценности	False	99.93%
век	эпоха	эпохи	True	99.99%
вера	антицелостность	антицелостности	False	99.62%
вера	глубинными_состояниями_ума	глубинных_состояний_ума	True	99.99%
вера	добродетель	добродетели	False	54.73%
вера	имя	имени	True	99.99%
вера	мировоззрение	мировоззрения	True	99.99%
вера	мировоззренческий	мировоззренческого	True	98.11%
вера	мироощущение	мироощущения	True	99.41%
вера	миропонимание	миропонимания	True	99.99%
вера	мысль	мысли	True	98.72%
вера	мышление	мышления	True	98.58%
вера	поток_мыслей	потока_мыслей	False	97.81%
вера	сверхнародная	сверхнародной	False	94.29%
вера	состояниями_ума	состояний_ума	True	88.20%
вера	убеждения,_взгляды	убеждений,_взглядов	True	99.99%
вера	убежденность	убеждённости	True	99.99%
вера	уверенность	уверенности	True	99.99%
вера	учение	учения	False	88.05%
вера	фактор	фактора	True	54.42%
вера	феномен	феномена	False	96.15%
вера	ценность	ценности	True	99.99%
вера	церковь	церкви	True	63.52%
вера	элементы_самочувствия_артиста	элементов_самочувствий_артиста	False	95.75%
вера	эмоция	эмоции	False	81.72%
вечер	временной_отрезок	временного_отрезка	True	97.40%
вечер	интервал_времени	интервала_времени	True	97.71%
вечер	клубной_работы	клубной_работ	False	99.99%
вечер	культурные_мероприятия	культурных_мероприятий	True	99.99%
вечер	мероприятия	мероприятий	True	99.67%
вечер	ограничи­валось	ограничи­вавшегося	False	99.96%
вечер	певчие_существа	певчих_существ	False	98.77%
вечер	подарка_харлея	подарка_харлея	False	99.99%
вечер	полумрак	полумрака	True	77.53%
вечер	промежуток_времени	промежутка_времени	True	99.99%
вечер	развлечений	развлечений	True	83.34%
вечер	санинизм	санинизма	False	99.98%
вечер	случай	случая	False	99.92%
вечер	собрание	собрания	True	86.45%
вечер	этап	этапа	True	87.77%
вещь	аспект	аспекта	False	99.41%
вещь	вздор	вздора	False	99.99%
вещь	еда	еды	True	63.52%
вещь	кушанье	кушанья	True	54.39%
вещь	материал	материала	True	74.18%
вещь	мебель	мебели	True	98.45%
вещь	наука	науки	False	97.42%
вещь	нечто	нечто	False	93.65%
вещь	объект	объекта	True	89.12%
вещь	пища	пищи	True	63.52%
вещь	платье	платья	True	82.96%
вещь	пожитки	пожитков	True	99.96%
вещь	предмет	предмета	True	89.74%
вещь	произведение	произведения	False	99.93%
вещь	растение	растения	False	99.84%
вещь	результат	результата	False	98.75%
вещь	творение	творения	True	98.21%
вещь	фактор	фактора	False	99.83%
вещь	физический_объект	физического_объекта	True	89.12%
вещь	явление	явления	False	99.85%
взгляд	выражение	выражения	True	99.97%
взгляд	деталь	детали	False	99.98%
взгляд	деятельность	деятельности	True	63.52%
взгляд	документ	документа	False	99.99%
взгляд	кактус	кактуса	False	99.76%
взгляд	конкретного_мужчину	конкретного_мужчины	False	85.69%
взгляд	ксива	ксивы	False	88.85%
взгляд	курс	курса	False	96.31%
взгляд	мелкие_признаки	мелких_признаков	False	85.65%
взгляд	мелочи	мелочей	False	99.99%
взгляд	мистическая, –	мистическая, –	False	99.92%
взгляд	мнение	мнения	True	99.75%
взгляд	направление_в_пространстве	направления_в_пространства	True	76.98%
взгляд	направленность	направленности	True	99.83%
взгляд	образ	образа	True	75.69%
взгляд	орган	органа	False	99.99%
взгляд	положение,_тезис	положения,_тезиса	False	99.96%
взгляд	признак	признака	False	97.03%
взгляд	сознание	сознания	True	86.19%
взгляд	способность	способности	True	97.32%
взгляд	суждение	суждения	False	99.86%
взгляд	трудноуловимым_признакам	трудноуловимого_признаков	False	99.99%
вид	биометрический_паспорт	биометрического_паспорта	False	99.92%
вид	вариант	варианта	False	99.88%
вид	вариация	вариации	False	99.93%
вид	вид, —	вид, —	False	97.03%
вид	вид…	вид…	False	99.91%
вид	грамматическая_категория	грамматической_категории	False	87.12%
вид	дисморфия	дисморфия	False	99.99%
вид	документ	документа	False	69.55%
вид	зрелище	зрелища	True	99.62%
вид	излучение	излучения	False	99.29%
вид	изображение	изображения	True	99.79%
вид	качество	качества	True	99.95%
вид	мероприятие	мероприятия	False	99.94%
вид	нотовид	нотовида	False	99.99%
вид	облик	облика	True	99.95%
вид	общественно–географическое	общественно–географического	False	99.99%
вид	отрешенный	отрешённого	False	98.80%
вид	плечо	плеча	False	99.82%
вид	пособие	пособия	False	99.92%
вид	предложение	предложения	False	79.42%
вид	предмет	предмета	True	89.26%
вид	признак	признака	True	89.26%
вид	приём	приёма	False	99.76%
вид	рефлексированное	рефлексированного	False	99.97%
вид	свидетельство	свидетельства	False	88.46%
вид	свойство,_характеристика	свойства,_характеристики	True	69.53%
вид	сзади	сзади	True	89.26%
вид	состояние	состояния	False	99.83%
вид	фактор	фактора	False	77.31%
вид	форма	формы	True	98.78%
вид	эгосистемы	эгосистем	False	99.28%
вид	энергия	энергии	False	99.99%
власть	антицелостность	антицелостности	False	99.76%
власть	благо	блага	False	97.47%
власть	величина	величины	False	99.57%
власть	влияние	влияния	True	99.96%
власть	вправе	вправе	False	99.95%
власть	духовно–психологический	духовно–психологического	False	99.30%
власть	килхейдхеером	килхейдхеера	False	99.98%
власть	котор^гх	котор^гх	False	99.99%
власть	лицо	лица	False	96.77%
власть	мелочь	мелочи	False	99.98%
власть	мононокенону	мононокеноны	False	99.88%
власть	олимполис	олимполиса	False	99.99%
власть	орган	органа	False	69.34%
власть	организация	организации	False	68.57%
власть	показатель	показателя	False	98.34%
власть	социальным_благам	социальных_благ	True	70.83%
власть	таксономическая_категория	таксономической_категории	False	84.00%
власть	хэлльцев	хэлльцев	False	99.99%
власть	ценности	ценностей	False	93.75%
власть	юридическое_право	юридического_права	True	71.16%
внимание	дело	дела	False	99.99%
внимание	коммуникативного_поведения	коммуникативного_поведений	True	93.75%
внимание	личные_отношения	личных_отношений	True	84.83%
внимание	межчеловеческий	межчеловеческого	False	72.67%
внимание	мелочи	мелочей	False	99.89%
внимание	мелочь	мелочи	False	99.76%
внимание	отношения_между_конкретными_людьми	отношений_между_конкретных_людей	True	99.99%
внимание	персональные_отношения	персональных_отношений	True	75.05%
внимание	припи­сывают	припи­сывающих	False	99.76%
внимание	психического_процесса	психического_процесса	True	99.78%
внимание	сосредоточенность	сосредоточенности	True	90.38%
внимание	убеждением,	убеждения,	False	99.96%
внимание	угодничество	угодничества	True	68.20%
внимание	устремленность	устремлённости	False	71.26%
внимание	функция	функции	False	86.49%
внимание	ценность	ценности	False	99.07%
внимание	чувство	чувства	True	92.52%
внимание	элемент	элемента	False	98.56%
внимание	эмоция	эмоции	True	72.54%
вода	безалкогольные_напитки	безалкогольных_напитков	True	99.99%
вода	бухало	бухавшего	False	99.99%
вода	бухло	бухнувшего	False	99.99%
вода	жидкое_вещество	жидкого_вещества	True	99.69%
вода	жидкость	жидкости	True	99.99%
вода	коммунальные_услуги	коммунальных_услуг	True	99.99%
вода	масса	массы	True	96.58%
вода	материал	материала	True	50.15%
вода	мелочь	мелочи	False	99.99%
вода	несодержащий_алкоголь	несодержащего_алкоголя	True	99.96%
вода	отстоенная	отстоенной	False	99.88%
вода	пассивирует	пассивировавшего	False	99.99%
вода	питие	пития	True	99.99%
вода	плотной_среде	плотной_среды	False	98.25%
вода	полраковины	полраковин	False	99.99%
вода	природные_ресурсы, природными_ресурсами	природных_ресурсов	True	99.99%
вода	растворитель	растворителя	True	99.97%
вода	слабоалкогольный_напиток	слабоалкогольного_напитка	False	98.19%
вода	стихия	стихии	True	99.99%
вода	товар	товара	True	99.99%
вода	хлорировалась	хлорировавшейся	False	91.07%
вода	элемент	элемента	False	50.37%
воздух	аэромилиции	аэромилиций	False	86.85%
воздух	газ	газа	True	99.99%
воздух	газообразный_компонент	газообразного_компонента	True	97.48%
воздух	необходимые_продукты	необходимых_продуктов	True	90.52%
воздух	подщелачивается	подщелачивающегося	False	99.97%
воздух	прекрасных_птиц	прекрасных_птиц	False	99.98%
воздух	пространство	пространства	True	99.98%
воздух	сводовый	сводового	False	99.20%
воздух	смесь	смеси	True	94.45%
воздух	смешение	смешения	False	85.12%
воздух	среда	среды	True	99.98%
воздух	убиквитет	убиквитета	False	99.96%
воздух	условие	условия	False	87.23%
воздух	фактор	фактора	False	99.64%
воздух	человек	человека	False	99.99%
воздух	элемент	элемента	False	99.19%
возможность	безконтрольность	безконтрольности	False	98.87%
возможность	величина	величины	False	97.52%
возможность	возможно	возможно	False	99.99%
возможность	высказывание	высказывания	False	99.99%
возможность	качествующее	качествующего	False	99.90%
возможность	наличие	наличия	True	99.98%
возможность	наука	науки	False	99.99%
возможность	обстоятельство,_фактор	обстоятельства,_фактора	True	99.07%
возможность	осуществимость	осуществимости	True	99.98%
возможность	оценочная_характеристика	оценочной_характеристики	False	52.67%
возможность	редакция	редакции	False	99.99%
возможность	сопутствующее_обстоятельство	сопутствующего_обстоятельства	True	62.56%
возможность	существенное_обстоятельство	существенного_обстоятельства	False	98.63%
возможность	утверждение	утверждения	False	99.95%
возможность	фактор	фактора	False	98.19%
война	антагонизм[	антагонизм[	False	99.93%
война	атака	атаки	True	72.54%
война	бедствие	бедствия	True	99.98%
война	беда	беды	True	99.99%
война	борьба	борьбы	True	99.73%
война	веселом_деле	весёлого_дела	False	99.99%
война	военный_конфликт	военного_конфликта	True	99.98%
война	вооруженная_борьба	вооружённой_борьбы	True	99.99%
война	грозные_события	грозных_событий	True	99.99%
война	дело	дела	False	95.50%
война	итог—	итог—	False	99.99%
война	катаклизм	катаклизма	True	99.90%
война	катастрофа	катастрофы	True	99.90%
война	конец_уже_после	конца_ужа_посла	False	99.99%
война	междоусобица	междоусобицы	True	99.99%
война	междоусобная	междоусобной	True	99.83%
война	несчастье	несчастья	True	99.92%
война	побочные_эффекты	побочных_эффектов	False	99.95%
война	противоречие	противоречия	True	99.99%
война	распря	распри	False	98.47%
война	славного_начинания	славного_начинаний	False	99.99%
война	смута	смуты	True	50.03%
война	события	событий	True	99.99%
война	событие	события	True	99.89%
война	соци­альное	соци­ального	True	53.39%
война	спор	спора	False	84.54%
война	трагедия	трагедии	True	99.99%
вопрос	атмосфера	атмосферы	False	99.99%
вопрос	выражение	выражения	True	68.20%
вопрос	высказывание	высказывания	True	99.99%
вопрос	дело	дела	False	99.99%
вопрос	дисциплина	дисциплины	False	99.99%
вопрос	знак_пунктуации	знака_пунктуаций	True	77.08%
вопрос	климат	климата	False	99.99%
вопрос	наука	науки	False	99.99%
вопрос	неизвестность	неизвестности	True	99.95%
вопрос	область	области	False	99.98%
вопрос	обращение	обращения	True	99.99%
вопрос	обстоятельства,_обстановка,_условия	обстоятельств,_обстановки,_условий	False	99.10%
вопрос	обстоятельство	обстоятельства	False	99.72%
вопрос	пожелание	пожелания	True	72.54%
вопрос	положение	положения	False	99.99%
вопрос	предмет	предмета	False	99.98%
вопрос	речевой_акт	речевого_акта	True	99.99%
вопрос	состав	состава	False	99.99%
вопрос	страсть	страсти	False	99.97%
вопрос	требование	требования	False	99.99%
вопрос	условие	условия	False	99.91%
вопрос	утверждение	утверждения	False	99.89%
врач	биорадиолог	биорадиолога	False	99.41%
врач	доктор	доктора	True	98.96%
врач	докторша	докторши	True	85.54%
врач	ле­карство	ле­карства	False	99.94%
врач	лекарство	лекарства	False	99.77%
врач	лицо	лица	True	99.84%
врач	медичка	медички	False	92.15%
врач	прописывавшие	прописывавших	True	70.37%
врач	профессия	профессии	True	99.99%
врач	сонолог	сонолога	False	99.99%
